Genre,Count
drama,7911
unknown,6083
comedy,5798
action,2107
romance,1810
horror,1450
thriller,1420
crime,988
western,936
adventure,777
musical,746
science fiction,504
family,504
romantic comedy,493
crime drama,476
fantasy,463
mystery,462
war,405
sci-fi,361
film noir,347
animation,330
biography,297
animated,255
comedy-drama,173
musical comedy,154
suspense,145
historical,131
social,127
anime,119
romantic drama,108
comedy drama,104
martial arts,99
spy,92
animated short,91
action thriller,85
world war ii,85
sports,82
documentary,81
serial,74
superhero,72
biopic,69
family drama,68
war drama,65
crime thriller,62
black comedy,61
historical drama,60
action comedy,56
horror comedy,54
